date,CN_airport_entry,global_airport_entry,CN_airport_departure,global_airport_departure
2019-04-04,15048,32239,11905,21276
2019-04-05,15022,28019,10175,21923
2019-04-06,11514,25451,12658,25204
2019-04-07,13499,22178,16547,33015
2019-04-18,12809,27943,6535,17371
2019-04-19,12242,30750,7406,21236
2019-04-20,12896,25898,10732,28831
2019-04-21,11766,23072,12921,34322
2019-04-22,7251,17195,9743,28011
2019-04-30,18469,25397,23605,27297
2019-05-01,20271,28085,20266,27935
2019-05-02,18458,27307,12761,24278
2019-05-03,19456,27771,15539,26252
2019-05-04,27260,25096,19613,28495
2019-05-05,24310,23717,15943,33975
2019-05-11,13946,22122,11291,21425
2019-05-12,12382,19602,15363,26262
2019-05-13,11824,19576,12504,21855
2019-06-07,16494,27712,10497,21641
2019-06-08,12210,22462,11664,25156
2019-06-09,14388,20219,16966,34586
2019-06-29,17109,23204,11744,19899
2019-06-30,15320,18794,15450,24963
2019-07-01,12074,16728,11836,22266
2019-09-12,7169,15287,7130,13718
2019-09-13,6705,14182,4900,12628
2019-09-14,4664,12938,4499,11644
2019-09-15,8445,17401,7053,15846
2019-09-28,8744,10799,13316,15073
2019-09-29,7386,8907,13238,16694
2019-09-30,9642,10027,23249,14243
2019-10-01,8315,8491,25924,11451
2019-10-02,9835,12548,16219,10210
2019-10-03,12830,15228,9663,10216
2019-10-04,16666,14272,7796,10211
2019-10-05,20943,13675,8553,10611
2019-10-06,28942,13253,10036,12880
2019-10-07,29626,12379,8097,10192
2019-12-21,8904,17560,4102,11322
2019-12-22,7477,16617,5050,13283
2019-12-23,7607,18021,4638,13002
2019-12-24,5541,17399,3685,9656
2019-12-25,4956,18860,3320,10775
2019-12-26,4930,18714,3702,15898
2019-12-27,5647,18949,4516,14751
2019-12-28,5088,20784,5306,15715
2019-12-29,4043,15071,5197,18618
2019-12-30,4999,18078,4963,17085
2019-12-31,4109,14087,5183,14984
2020-01-01,3733,11409,4677,19370
2020-01-24,9124,14116,4451,7242
2020-01-25,8489,10953,5326,7335
2020-01-26,10955,7522,7870,8813
2020-01-27,10309,6764,8203,11319
2020-01-28,7187,5422,8306,12151
2020-01-29,9196,5871,7550,10514
2020-01-30,9907,5530,7122,9882
2020-01-31,7817,5089,5737,7599
2020-02-01,5703,4567,5072,8046
2020-02-02,4649,3762,4360,6898
2020-02-03,6996,3846,3596,5428
2020-02-04,6317,3647,3550,4471
2020-02-05,6041,3592,2591,4404
2020-02-06,5728,3478,2512,4222
2020-02-07,5563,3556,2735,4012
2020-02-08,943,3070,1127,3253
2020-02-09,913,2591,971,3200
2020-02-10,766,2037,535,3219
2020-02-11,647,2107,481,2556
2020-02-12,619,1725,471,2358
2020-02-13,638,1938,453,2150
2020-02-14,584,2015,477,2012
2020-02-15,692,2098,390,2064
2020-02-16,650,1848,349,2524
2020-02-17,532,1876,212,2018
2020-02-18,479,1862,266,1722
2020-02-19,462,1789,214,1582
2020-02-20,525,1730,280,1944
2020-02-21,539,2007,356,1749
2020-02-22,530,2030,247,1888
2020-02-23,537,2009,296,2141
2020-02-24,451,1792,231,1919
2020-02-25,414,1471,181,1574
2020-02-26,410,1484,212,1521
2020-02-27,512,1780,168,1501
2020-02-28,369,1767,255,1747
2020-02-29,870,1893,230,1688
2020-03-01,1122,2461,354,1850
2020-03-02,732,1935,206,1314
2020-03-03,734,1923,190,1349
2020-03-04,772,1847,213,1123
2020-03-05,673,1749,190,1289
2020-03-06,705,1877,215,1150
2020-03-07,795,1919,216,1398
2020-03-08,730,1833,276,1376
2020-03-09,706,1623,139,970
2020-03-10,663,1531,142,914
2020-03-11,838,1539,205,841
2020-03-12,944,1426,152,995
2020-03-13,1075,1401,269,1044
2020-03-14,1435,1587,214,996
2020-03-15,1558,1950,315,863
2020-03-16,1662,2038,382,896
2020-03-17,1702,1272,339,666
2020-03-18,2027,1309,337,615
2020-03-19,37,596,160,519
2020-03-20,44,603,54,445
2020-03-21,43,526,39,320
2020-03-22,33,566,49,228
2020-03-23,30,529,34,208
2020-03-24,73,855,21,260
2020-03-25,6,158,21,236
2020-03-26,6,126,20,138
2020-03-27,4,178,46,238
2020-03-28,7,175,51,162
2020-03-29,6,215,25,77
2020-03-30,7,138,10,92
2020-03-31,9,119,20,142
2020-04-01,5,34,36,86
2020-04-02,4,9,21,59
2020-04-03,6,24,38,87
2020-04-04,3,15,20,51
2020-04-05,0,7,10,71
2020-04-06,2,13,13,43
2020-04-07,4,16,14,43
2020-04-08,6,24,14,59
2020-04-09,0,17,3,39
2020-04-10,9,39,20,74
2020-04-11,0,8,4,33
2020-04-12,4,24,30,54
2020-04-13,1,18,6,28
2020-04-14,7,10,10,50
2020-04-15,2,16,12,60
2020-04-16,1,19,15,24
2020-04-17,6,20,15,80
2020-04-18,9,14,19,67
2020-04-19,2,13,2,44
2020-04-20,6,20,26,25
2020-04-21,3,22,3,28
2020-04-22,2,29,6,57
2020-04-23,2,19,13,59
2020-04-24,0,26,5,63
2020-04-25,7,20,13,41
2020-04-26,1,20,18,35
2020-04-27,2,10,1,22
2020-04-28,0,64,1,50
2020-04-29,4,15,6,44
2020-04-30,5,48,17,31
2020-05-01,4,24,6,98
2020-05-02,6,39,4,72
2020-05-03,1,26,6,44
2020-05-04,10,19,4,161
2020-05-05,3,11,2,24
2020-05-06,4,13,9,30
2020-05-07,5,5,3,8
2020-05-08,13,35,9,49
2020-05-09,6,63,14,28
2020-05-10,7,41,7,42
2020-05-11,7,30,8,25
2020-05-12,5,33,7,34
2020-05-13,13,24,10,77
2020-05-14,3,32,2,41
2020-05-15,3,31,3,60
2020-05-16,13,149,5,77
2020-05-17,6,55,7,61
2020-05-18,6,39,9,62
2020-05-19,0,14,2,18
2020-05-20,5,20,8,26
2020-05-21,8,30,8,32
2020-05-22,7,31,4,55
2020-05-23,5,102,12,35
2020-05-24,10,38,9,40
2020-05-25,6,46,4,23
2020-05-26,2,37,3,53
2020-05-27,4,21,9,149
2020-05-28,2,29,7,71
2020-05-29,4,22,2,65
2020-05-30,7,35,7,48
2020-05-31,8,41,4,38
2020-06-01,9,61,1,40
2020-06-02,4,52,2,110
2020-06-03,5,40,12,120
2020-06-04,6,36,5,80
2020-06-05,4,42,10,78
2020-06-06,7,46,22,186
2020-06-07,3,44,9,120
2020-06-08,14,102,17,44
2020-06-09,12,30,22,44
2020-06-10,3,15,15,199
2020-06-11,4,19,10,36
2020-06-12,7,72,5,92
2020-06-13,4,54,14,62
2020-06-14,3,50,16,80
2020-06-15,7,75,12,58
2020-06-16,4,42,19,51
2020-06-17,11,40,8,35
2020-06-18,0,34,6,95
2020-06-19,2,86,5,180
2020-06-20,12,54,5,51
2020-06-21,5,71,27,78
2020-06-22,7,64,4,36
2020-06-23,9,34,18,54
2020-06-24,3,55,6,44
2020-06-25,2,46,11,68
2020-06-26,8,57,13,85
2020-06-27,1,53,15,138
2020-06-28,5,69,1,103
2020-06-29,5,34,4,108
2020-06-30,7,82,5,62
2020-07-01,3,58,20,82
2020-07-02,5,75,23,60
2020-07-03,7,71,17,87
2020-07-04,13,57,9,133
2020-07-05,6,48,14,151
2020-07-06,4,46,2,110
2020-07-07,8,36,18,81
2020-07-08,11,76,5,197
2020-07-09,9,44,21,84
2020-07-10,2,105,29,96
2020-07-11,13,75,19,92
2020-07-12,10,79,61,109
2020-07-13,9,55,30,62
2020-07-14,8,55,66,84
2020-07-15,3,58,20,74
2020-07-16,3,28,24,36
2020-07-17,7,82,51,72
2020-07-18,12,45,65,69
2020-07-19,2,42,73,109
2020-07-20,2,27,41,113
2020-07-21,3,49,95,72
2020-07-22,3,47,41,68
2020-07-23,5,11,32,195
2020-07-24,5,42,56,101
2020-07-25,6,21,68,55
2020-07-26,4,49,85,73
2020-07-27,5,25,33,42
2020-07-28,10,47,62,84
2020-07-29,0,23,28,53
2020-07-30,3,20,23,36
2020-07-31,3,65,57,98
2020-08-01,5,11,80,82
2020-08-02,3,46,59,96
2020-08-03,2,14,24,112
2020-08-04,3,34,61,91
2020-08-05,3,40,27,42
2020-08-06,3,20,32,99
2020-08-07,5,46,32,117
2020-08-08,5,22,65,56
2020-08-09,10,28,47,84
2020-08-10,10,22,19,78
2020-08-11,2,33,23,57
2020-08-12,7,21,24,43
2020-08-13,2,16,15,61
2020-08-14,3,49,23,88
2020-08-15,5,39,44,195
2020-08-16,11,21,35,74
2020-08-17,6,22,15,32
2020-08-18,0,14,19,48
2020-08-19,1,21,10,33
2020-08-20,1,29,6,54
2020-08-21,10,25,27,184
2020-08-22,1,12,26,48
2020-08-23,10,48,27,60
2020-08-24,8,9,22,81
2020-08-25,9,10,19,91
2020-08-26,2,30,10,56
2020-08-27,4,13,3,49
2020-08-28,9,35,13,82
2020-08-29,4,17,42,224
2020-08-30,9,32,10,57
2020-08-31,2,14,6,40
2020-09-01,4,22,18,57
2020-09-02,6,37,26,40
2020-09-03,4,15,12,28
2020-09-04,5,32,16,41
2020-09-05,11,28,40,70
2020-09-06,5,51,31,69
2020-09-07,5,19,5,39
2020-09-08,9,45,27,46
2020-09-09,9,24,18,115
2020-09-10,4,15,11,37
2020-09-11,7,44,9,56
2020-09-12,15,39,40,46
2020-09-13,9,49,29,60
2020-09-14,4,26,8,38
2020-09-15,7,40,18,64
2020-09-16,10,30,17,47
2020-09-17,5,21,6,42
2020-09-18,4,41,5,41
2020-09-19,11,31,25,36
2020-09-20,9,43,21,48
2020-09-21,1,17,5,23
2020-09-22,2,21,22,57
2020-09-23,1,39,11,60
2020-09-24,3,14,6,37
2020-09-25,3,42,13,51
2020-09-26,18,12,47,27
2020-09-27,3,37,8,52
2020-09-28,4,35,12,40
2020-09-29,11,30,20,75
2020-09-30,3,28,18,49
2020-10-01,4,34,5,101
2020-10-02,4,43,19,66
2020-10-03,4,19,21,58
2020-10-04,3,59,8,44
2020-10-05,2,33,13,34
2020-10-06,4,24,23,29
2020-10-07,1,26,11,38
2020-10-08,1,35,6,53
2020-10-09,5,37,45,26
2020-10-10,4,14,30,26
2020-10-11,13,68,48,48
2020-10-12,10,32,11,40
2020-10-13,2,31,22,27
2020-10-14,4,30,21,31
2020-10-15,3,53,14,64
2020-10-16,5,49,30,42
2020-10-17,8,9,27,48
2020-10-18,13,52,26,38
2020-10-19,2,31,8,28
2020-10-20,5,16,10,93
2020-10-21,2,31,10,78
2020-10-22,2,34,7,43
2020-10-23,2,42,25,58
2020-10-24,7,27,9,26
2020-10-25,14,38,31,48
2020-10-26,3,21,7,26
2020-10-27,2,17,4,28
2020-10-28,2,23,11,28
2020-10-29,6,28,8,45
2020-10-30,4,37,26,57
2020-10-31,5,19,19,36
2020-11-01,1,47,8,39
2020-11-02,0,25,9,17
2020-11-03,14,32,20,96
2020-11-04,7,33,6,124
2020-11-05,1,30,3,84
2020-11-06,5,40,10,55
2020-11-07,8,26,9,28
2020-11-08,4,63,22,60
2020-11-09,0,19,13,20
2020-11-10,6,36,20,36
2020-11-11,2,52,8,42
2020-11-12,4,61,7,74
2020-11-13,1,26,8,49
2020-11-14,3,19,15,34
2020-11-15,6,38,30,55
2020-11-16,14,17,13,14
2020-11-17,4,26,14,32
2020-11-18,6,27,5,86
2020-11-19,2,30,5,36
2020-11-20,12,34,27,56
2020-11-21,3,41,21,35
2020-11-22,5,27,21,70
2020-11-23,3,14,1,36
2020-11-24,3,19,15,34
2020-11-25,4,16,15,31
2020-11-26,2,19,13,41
2020-11-27,6,28,24,38
2020-11-28,9,15,15,46
2020-11-29,4,33,15,54
2020-11-30,0,22,1,56
2020-12-01,4,21,23,30
2020-12-02,1,28,18,55
2020-12-03,2,38,4,34
2020-12-04,7,34,23,40
2020-12-05,0,18,30,39
2020-12-06,6,40,24,55
2020-12-07,2,64,9,30
2020-12-08,4,20,30,45
