date,HK_airport_entry,CN_airport_entry,global_airport_entry,airport_entry,HK_airport_departure,CN_airport_departure,global_airport_departure,airport_departure
2019-04-04,29331,15048,32239,76618,48963,11905,21276,82144
2019-04-05,26473,15022,28019,69514,36156,10175,21923,68254
2019-04-06,33868,11514,25451,70833,26966,12658,25204,64828
2019-04-07,51416,13499,22178,87093,29332,16547,33015,78894
2019-04-18,37783,12809,27943,78535,80346,6535,17371,104252
2019-04-19,32979,12242,30750,75971,73456,7406,21236,102098
2019-04-20,43572,12896,25898,82366,44172,10732,28831,83735
2019-04-21,59308,11766,23072,94146,39595,12921,34322,86838
2019-04-22,82658,7251,17195,107104,45399,9743,28011,83153
2019-04-30,35253,18469,25397,79119,25858,23605,27297,76760
2019-05-01,35782,20271,28085,84138,31266,20266,27935,79467
2019-05-02,25793,18458,27307,71558,24758,12761,24278,61797
2019-05-03,21716,19456,27771,68943,27917,15539,26252,69708
2019-05-04,23936,27260,25096,76292,25189,19613,28495,73297
2019-05-05,34679,24310,23717,82706,26117,15943,33975,76035
2019-05-11,27788,13946,22122,63856,48047,11291,21425,80763
2019-05-12,33832,12382,19602,65816,37741,15363,26262,79366
2019-05-13,57982,11824,19576,89382,34117,12504,21855,68476
2019-06-07,29192,16494,27712,73398,44046,10497,21641,76184
2019-06-08,36398,12210,22462,71070,30589,11664,25156,67409
2019-06-09,56811,14388,20219,91418,30351,16966,34586,81903
2019-06-29,37398,17109,23204,77711,54954,11744,19899,86597
2019-06-30,43250,15320,18794,77364,44710,15450,24963,85123
2019-07-01,59866,12074,16728,88668,37017,11836,22266,71119
2019-09-12,30117,7169,15287,52573,31514,7130,13718,52362
2019-09-13,23125,6705,14182,44012,35807,4900,12628,53335
2019-09-14,20395,4664,12938,37997,32003,4499,11644,48146
2019-09-15,37821,8445,17401,63667,30257,7053,15846,53156
2019-09-28,30377,8744,10799,49920,41178,13316,15073,69567
2019-09-29,34954,7386,8907,51247,27268,13238,16694,57200
2019-09-30,36897,9642,10027,56566,22038,23249,14243,59530
2019-10-01,43552,8315,8491,60358,18262,25924,11451,55637
2019-10-02,33408,9835,12548,55791,21346,16219,10210,47775
2019-10-03,23436,12830,15228,51494,27518,9663,10216,47397
2019-10-04,23810,16666,14272,54748,47974,7796,10211,65981
2019-10-05,24119,20943,13675,58737,45474,8553,10611,64638
2019-10-06,26678,28942,13253,68873,33739,10036,12880,56655
2019-10-07,46464,29626,12379,88469,28561,8097,10192,46850
2019-12-21,34643,8904,17560,61107,71827,4102,11322,87251
2019-12-22,37576,7477,16617,61670,60705,5050,13283,79038
2019-12-23,33497,7607,18021,59125,56357,4638,13002,73997
2019-12-24,31465,5541,17399,54405,61634,3685,9656,74975
2019-12-25,36967,4956,18860,60783,58138,3320,10775,72233
2019-12-26,47191,4930,18714,70835,44335,3702,15898,63935
2019-12-27,45092,5647,18949,69688,49396,4516,14751,68663
2019-12-28,52705,5088,20784,78577,39197,5306,15715,60218
2019-12-29,68857,4043,15071,87971,34214,5197,18618,58029
2019-12-30,58966,4999,18078,82043,27989,4963,17085,50037
2019-12-31,58757,4109,14087,76953,26654,5183,14984,46821
2020-01-01,66624,3733,11409,81766,28618,4677,19370,52665
2020-01-24,20724,9124,14116,43964,74876,4451,7242,86569
2020-01-25,14907,8489,10953,34349,58711,5326,7335,71372
2020-01-26,22646,10955,7522,41123,47580,7870,8813,64263
2020-01-27,36215,10309,6764,53288,41316,8203,11319,60838
2020-01-28,54491,7187,5422,67100,41100,8306,12151,61557
2020-01-29,50292,9196,5871,65359,33880,7550,10514,51944
2020-01-30,46214,9907,5530,61651,31072,7122,9882,48076
2020-01-31,49093,7817,5089,61999,28231,5737,7599,41567
2020-02-01,55976,5703,4567,66246,28798,5072,8046,41916
2020-02-02,59083,4649,3762,67494,25570,4360,6898,36828
2020-02-03,41208,6996,3846,52050,21704,3596,5428,30728
