date,HK_airport_entry,CN_airport_entry,global_airport_entry,airport_entry,HK_airport_departure,CN_airport_departure,global_airport_departure,airport_departure
2019-04-01,432641,130516,258142,821299,450243,122227,258486,830956
2019-05-01,261508,147907,193276,602691,255152,123280,210477,588909
2019-06-01,203049,75521,112391,390961,204650,66321,126245,397216
2019-07-01,59866,12074,16728,88668,37017,11836,22266,71119
2019-09-01,213686,52755,89541,355982,220065,73385,99846,393296
2019-10-01,221467,127157,89846,438470,222874,86288,75771,384933
2019-12-01,505716,63301,194140,763157,530446,49662,155089,735197
2020-01-01,361206,76717,72676,510599,385384,59242,94225,538851
2020-02-01,541385,54079,69367,664831,426138,32818,83811,542767
2020-03-01,208086,19178,36004,263268,100566,4904,22714,128184
2020-04-01,17418,103,633,18154,8435,411,1507,10353
2020-05-01,21859,183,1135,23177,7892,194,1646,9732
2020-06-01,26654,173,1559,28386,13971,319,2537,16827
2020-07-01,26023,184,1561,27768,31253,1188,2778,35219
2020-08-01,19921,155,793,20869,42136,865,2514,45515
2020-09-01,28289,192,927,29408,39643,544,1491,41678
2020-10-01,22984,146,1012,24142,25748,555,1407,27710
2020-11-01,24916,139,915,25970,23133,393,1478,25004
2020-12-01,21506,104,811,22421,34059,558,1395,36012
2021-01-01,16292,114,518,16924,27182,484,1214,28880
2021-02-01,12804,93,423,13320,16952,234,975,18161
2021-03-01,12938,126,518,13582,20619,378,863,21860
2021-04-01,11761,110,517,12388,21413,259,964,22636
2021-05-01,14930,154,563,15647,25239,267,1104,26610
2021-06-01,21663,565,390,22618,35352,639,837,36828
2021-07-01,20397,525,444,21366,49832,753,698,51283
2021-08-01,29916,386,875,31177,46973,523,812,48308
2021-09-01,23575,296,964,24835,44049,766,1073,45888
2021-10-01,23552,272,1196,25020,31462,954,1107,33523
2021-11-01,23584,596,1290,25470,29680,837,1344,31861
2021-12-01,25892,401,976,27269,41999,703,1623,44325
2022-01-01,14982,441,452,15875,33826,881,1434,36141
2022-02-01,9872,107,340,10319,52946,2101,932,55979
2022-03-01,8570,81,272,8923,64514,1494,1059,67067
2022-04-01,41891,276,463,42630,51847,823,903,53573
2022-05-01,58263,8831,3257,70351,60485,2876,1610,64971
2022-06-01,68023,30222,4435,102680,93602,10217,3400,107219
2022-07-01,85619,33608,5251,124478,102411,20371,5606,128388
2022-08-01,125943,38217,9011,173171,107377,27306,7800,142483
2022-09-01,102753,41005,12446,156204,123701,36342,11106,171149
2022-10-01,192293,38339,29994,260626,212652,32565,25221,270438
2022-11-01,305157,48415,51545,405117,308506,42562,47375,398443
2022-12-01,447483,55497,84537,587517,554400,52268,73107,679775
2023-01-01,622988,94966,114905,832859,565140,78327,130017,773484
2023-02-01,459105,138918,203153,801176,438646,122383,171973,733002
2023-03-01,571233,210043,282699,1063975,634954,178360,275035,1088349
2023-04-01,784614,204703,331594,1320911,764559,188141,310749,1263449
2023-05-01,695395,248522,314302,1258219,710142,205913,319772,1235827
2023-06-01,759782,243381,361941,1365104,804649,190689,338728,1334066
2023-07-01,902681,281614,345442,1529737,966464,260964,350666,1578094
2023-08-01,1050955,307229,343772,1701956,919672,295172,344870,1559714
2023-09-01,698140,217070,364820,1280030,733124,243531,352970,1329625
2023-10-01,857608,281914,457299,1596821,800899,212134,418109,1431142
2023-11-01,816750,212840,519947,1549537,808293,184050,515944,1508287
2023-12-01,953800,250977,586844,1791621,1053456,204887,535567,1793910
2024-01-01,865349,296567,500486,1662402,722218,289184,564706,1576108
2024-02-01,581430,288477,242716,1112623,623438,249295,244832,1117565
