日期,星级平均出租率,星级平均房价,星级平均房价增长,五星级平均出租率,五星级平均房价,五星级平均房价增长
2015-01-01,58.4,649,4.8,59.1,907,7.2
2015-03-01,69,708,9.090909091,69.5,999,3.523316062
2015-06-01,66.7,678,2.7,66.9,959,-2.5
2015-07-01,69.6,638,5.8,68.3,895,1.7
2015-08-01,67.7,643,5.6,65.8,899,-0.3
2015-10-01,69.1,740,7.2,69.4,1063,0.8
2016-02-01,46.2,634,0.7,48.3,859,-2
2016-04-01,73.5,748,0.6,76.1,1015,-7.1
2016-05-01,69.3,688,-2.2,69.3,946,-6
2016-06-01,70.3,691,0.2,73.6,927,-3.7
2016-07-01,71.4,657,2.2,72.4,890,-0.7
2016-08-01,72.1,653,1.1,74.3,873,-3.2
2016-09-01,67.9,706,1.2,71,931,-4.3
2016-10-01,73,734,0.2,76.5,998,-5.7
2016-11-01,75.2,735,0.4,78.9,991,-3.2
2016-12-01,64.2,654,0.7,66.9,874,-2
2017-01-01,57,660,-0.7,62.2,870,-2.6
2017-02-01,58.8,656,3.6,64,864,0.6
2017-03-01,71.6,742,1.5,76.1,982,-2.6
2017-04-01,70.3,745,-0.6,73.5,1003,-1
2017-05-01,70.2,731,5.2,72.2,999,3.9
2017-06-01,70.6,727,5.3,73.1,994,7.2
2017-08-01,70.6,727,5.3,73.1,994,7.2
2017-09-01,70,729,3.2,72,977,4.9
2017-10-01,72,750,2.2,73.8,1025,2.7
2017-11-01,76.1,753,2.5,78.3,1010,1.9
2017-12-01,63.7,690,5.5,65.9,910,4.1
2018-01-01,61.4,702,6.3,64.7,910,4.6
2018-02-01,47.2,671,2.2,50.1,874,1.2
2018-03-01,72.1,759,2.4,75,1002,2.1
2018-04-01,72,795,6.7,75.2,1041,3.8
2018-05-01,69.4,748,2.3,70.7,993,-0.6
2018-06-01,69.2,753,3.5,72.6,980,-1.4
2018-07-01,70,684,0.6,70.4,898,-1.2
2018-08-01,70.7,703,4.6,72.3,918,1.6
2018-09-01,67,756,3.8,68.1,990,1.4
2018-10-01,71.1,798,6.5,73.8,1053,2.7
2018-11-01,71.9,856,13.8,73.5,1130,11.9
2018-12-01,59.1,721,4.6,62.2,926,1.8
2019-01-01,57.2,711,1.4,61.9,875,-3.8
2019-02-01,48,705,5.1,52.8,886,1.4
2019-03-01,68,779,2.6,72.2,985,-1.8
2019-04-01,69.3,792,-0.4,73.2,1014,-2.6
2019-05-01,70.3,749,0.1,73.1,955,-3.8
2019-06-01,67.1,747,-0.7,70.9,953,-2.8
2019-07-01,68,692,1.2,70,879,-2.2
2019-08-01,68,706,0.4,71.2,905,-1.4
2019-09-01,64.1,767,1.5,67.5,981,-1
2019-10-01,68,768,-3.7,71,994,-5.6
2019-11-01,72.4,830,-3.1,76.1,1071,-5.2
2019-12-01,59.6,727,0.8,63.4,903,-2.5
2020-01-01,43.4,722,1.5,48.3,890,1.7
2020-02-01,5.1,675,-4.3,4.6,899,1.4
2020-04-01,16.1,590,-25.4,15.4,739,-27.1
2020-05-01,27.4,552,-26.2,27.9,712,-25.4
2020-06-01,32.2,580,-22.3,31.5,762,-20
2020-07-01,48.3,568,-17.9,48,763,-13.1
2020-08-01,56.8,621,-12,60,803,-11.2
2020-09-01,57.1,596,-22.4,60.5,739,-24.7
2020-10-01,60.4,640,-16.7,63.6,828,-16.8
2020-11-01,47.1,632,-23.9,46.8,809,-24.4
2020-12-01,42.9,612,-15.8,47,745,-17.6
2021-01-01,34.8,560,-22.4,36.5,733,-17.6
2021-02-01,26.2,621,-8.1,28,821,-8.6
2021-03-01,55.6,573,-5.6,61.1,707,-18
2021-04-01,62.6,624,5.6,66.3,792,7.2
2021-05-01,65.3,670,21.4,68.2,860,20.8
2021-06-01,61.2,635,9.4,63.9,795,4.3
2021-07-01,69.2,669,17.7,73.1,840,10.1
2021-08-01,36.8,643,3.5,36.2,826,2.9
2021-09-01,45.3,615,3.2,46,786,6.4
2021-10-01,60,659,2.9,61.9,842,1.8
2021-11-01,47.5,645,2.1,48.6,813,0.5
2021-12-01,39.2,625,2.1,39,791,6.3
2022-01-01,35.2,608,8.4,35.4,769,4.9
2022-06-01,23.3,532,-16.3,16,763,-4.1
2022-07-01,26.3,642,-4,24.8,789,-6
2022-08-01,42.3,639,-0.6,44.2,767,-7.2
2022-09-01,47.4,604,-1.7,48.3,736,-6.4
2022-10-01,43.5,597,-9.4,43.2,754,-10.5
2022-11-01,49.8,598,-7.3,51.6,740,-8.9
2022-12-01,38.5,604,-3.4,38.5,759,-4
2023-01-01,34.1,683,12.5,40.1,847,10
2023-02-01,53.6,643,3.7,61.8,778,1.1
