日期,合计,外国人,港澳,台湾省
2015-01-01,586538,359356,32461,51225
2015-02-01,442199,255894,28672,32098
2015-03-01,758521,484457,42057,62269
2015-04-01,757013,498421,47158,59697
2015-05-01,736034,506426,43845,63952
2015-06-01,649135,448386,43034,58894
2015-07-01,630503,447721,37275,57532
2015-08-01,632502,452538,35831,52336
2015-09-01,678242,491983,36825,52825
2015-10-01,765166,548975,43669,57398
2015-11-01,733040,478098,43747,59918
2015-12-01,632716,434681,38659,47574
2016-01-01,603364,387108,34234,46005
2016-02-01,506107,275394,28744,37046
2016-03-01,755611,490636,46661,58165
2016-04-01,772591,518702,42687,58085
2016-05-01,760971,507590,43869,59226
2016-06-01,692552,463996,43314,54215
2016-07-01,700337,470448,38998,59388
2016-08-01,718485,485472,37648,57514
2016-09-01,740337,527624,38201,57052
2016-10-01,845474,602220,48502,69481
2016-11-01,760917,526742,46889,63336
2016-12-01,686915,469723,46720,59300
2017-01-01,562953,351186,36011,45417
2017-02-01,571803,334898,30947,47119
2017-03-01,786962,517229,42566,61315
2017-04-01,804268,536727,52891,62661
2017-05-01,771961,532103,47072,67052
2017-06-01,717779,492813,45149,66111
2017-07-01,698244,467793,41205,67923
2017-08-01,715365,486090,40959,63606
2017-09-01,761820,545800,39209,58672
2017-10-01,823702,595943,50395,68014
2017-11-01,801185,561328,56961,74344
2017-12-01,714069,472939,61163,71691
2018-01-01,637449,371101,36674,53446
2018-02-01,470574,264230,28208,33803
2018-03-01,823736,564438,53116,72423
2018-04-01,820243,554834,49944,72715
2018-05-01,804361,537163,46166,70292
2018-06-01,731364,490034,48577,68382
2018-07-01,715053,470056,53684,81682
2018-08-01,715876,491108,42207,71240
2018-09-01,782984,566514,45779,67358
2018-10-01,874615,633976,55609,76126
2018-11-01,847162,611333,60701,79859
2018-12-01,713658,465114,59849,72657
2019-01-01,609478,380664,37726,52850
2019-02-01,551743,272689,29332,46043
2019-03-01,825082,554995,55452,100003
2019-04-01,826734,551571,58128,70206
2019-05-01,777193,514563,47762,68614
2019-06-01,748954,486781,51713,71695
2019-07-01,706545,438189,64378,74597
2019-08-01,710339,484972,45669,66963
2019-09-01,771217,555067,36962,54391
2019-10-01,870185,616786,53106,74066
2019-11-01,844846,614920,47081,62333
2019-12-01,729976,520399,40676,45520
2020-01-01,489819,316608,17256,23233
2020-02-01,82498,20027,968,3417
2020-03-01,66029,28594,2521,5874
2020-04-01,17047,8506,1775,4940
2020-05-01,46863,24348,5409,13018
2020-06-01,53100,30100,6500,16500
2020-07-01,68600,37300,10200,21100
2020-08-01,89500,47800,14200,27500
2020-09-01,92600,51100,14700,26800
2020-10-01,100900,56600,16600,27700
2020-11-01,88900,51800,15000,22100
2020-12-01,90300,54700,15100,20500
2021-01-01,68600,39300,11300,18000
2021-02-01,58200,35200,7900,15100
2021-03-01,91300,48600,16000,26700
2021-04-01,98100,54900,19100,24100
2021-05-01,101500,54900,20700,25900
2021-06-01,96500,52700,19700,24100
2021-07-01,112400,60100,23900,28400
2021-08-01,76100,43100,12100,20900
2021-09-01,75000,41600,12800,20600
2021-10-01,101100,54300,19600,27200
2021-11-01,77900,39600,15900,22400
2021-12-01,76300,42400,12800,21100
2022-01-01,67428,37719,10449,18341
2022-02-01,72447,36222,12587,22844
2022-03-01,70797,30970,13812,24392
2022-04-01,5626,3310,984,1280
2022-05-01,10629,6383,2073,2091
2022-06-01,38789,27525,4057,7163
2022-07-01,43900,31700,4400,7800
2022-08-01,58700,39500,8400,10800
2022-09-01,59500,38100,9900,11500
2022-10-01,61100,37700,10800,12600
2022-11-01,85400,59100,10600,15700
2022-12-01,57400,37900,7500,12000
2023-01-01,59300,33700,9900,15700
2023-02-01,117400,58900,17400,41100
