country,month_visits,cumulative,date
日本,66497,66497,2019/1/1
新加坡,12562,12562,2019/1/1
泰国,6783,6783,2019/1/1
印尼,7892,7892,2019/1/1
马来西亚,11161,11161,2019/1/1
韩国,59416,59416,2019/1/1
美国,54043,54043,2019/1/1
加拿大,11165,11165,2019/1/1
英国,13211,13211,2019/1/1
法国,11158,11158,2019/1/1
德国,17330,17330,2019/1/1
意大利,6433,6433,2019/1/1
俄罗斯,6962,6962,2019/1/1
澳大利亚,13713,13713,2019/1/1
新西兰,2734,2734,2019/1/1
日本,49615,116112,2019/2/1
新加坡,8122,20684,2019/2/1
泰国,5248,12031,2019/2/1
印尼,3829,11721,2019/2/1
马来西亚,8637,19798,2019/2/1
韩国,47493,106909,2019/2/1
美国,34936,88979,2019/2/1
加拿大,8283,19448,2019/2/1
英国,9728,22939,2019/2/1
法国,8644,19802,2019/2/1
德国,12342,29672,2019/2/1
意大利,4121,10554,2019/2/1
俄罗斯,4515,11477,2019/2/1
澳大利亚,7596,21309,2019/2/1
新西兰,1439,4173,2019/2/1
日本,99695,215807,2019/3/1
新加坡,18924,39607,2019/3/1
泰国,14399,26430,2019/3/1
印尼,10311,22032,2019/3/1
马来西亚,22036,41834,2019/3/1
韩国,67700,174608,2019/3/1
美国,81546,170525,2019/3/1
加拿大,17140,36589,2019/3/1
英国,19038,41976,2019/3/1
法国,15887,35689,2019/3/1
德国,26771,56443,2019/3/1
意大利,9675,20229,2019/3/1
俄罗斯,9669,21146,2019/3/1
澳大利亚,17842,39151,2019/3/1
新西兰,2741,6914,2019/3/1
日本,79067,294874,2019/4/1
新加坡,17359,56966,2019/4/1
泰国,15056,41485,2019/4/1
印尼,11067,33099,2019/4/1
马来西亚,19547,61381,2019/4/1
韩国,62652,237260,2019/4/1
美国,75525,246049,2019/4/1
加拿大,15334,51923,2019/4/1
英国,21056,63033,2019/4/1
法国,20116,55805,2019/4/1
德国,28668,85110,2019/4/1
意大利,10248,30477,2019/4/1
俄罗斯,10494,31640,2019/4/1
澳大利亚,22576,61727,2019/4/1
新西兰,4023,10937,2019/4/1
日本,75385,370259,2019/5/1
新加坡,17348,74314,2019/5/1
泰国,12821,54306,2019/5/1
印尼,9349,42448,2019/5/1
马来西亚,17588,78969,2019/5/1
韩国,66650,303910,2019/5/1
美国,68898,314947,2019/5/1
加拿大,14001,65942,2019/5/1
英国,17974,81007,2019/5/1
法国,18244,74049,2019/5/1
德国,25223,110333,2019/5/1
意大利,9441,39918,2019/5/1
俄罗斯,9653,41293,2019/5/1
澳大利亚,25583,87310,2019/5/1
新西兰,4160,15097,2019/5/1
日本,72769,443028,2019/6/1
新加坡,19192,93506,2019/6/1
泰国,10640,64946,2019/6/1
印尼,18808,61256,2019/6/1
马来西亚,16764,95733,2019/6/1
韩国,60925,364835,2019/6/1
美国,72263,387210,2019/6/1
加拿大,11227,77150,2019/6/1
英国,15567,96573,2019/6/1
法国,14201,88250,2019/6/1
德国,20179,130513,2019/6/1
意大利,8093,48011,2019/6/1
俄罗斯,7442,48735,2019/6/1
澳大利亚,18712,106022,2019/6/1
新西兰,3744,18841,2019/6/1
日本,70561,513589,2019/7/1
新加坡,14152,107658,2019/7/1
泰国,8920,73866,2019/7/1
印尼,7864,69120,2019/7/1
马来西亚,11778,107511,2019/7/1
韩国,53403,418239,2019/7/1
美国,64035,451245,2019/7/1
加拿大,11519,88669,2019/7/1
英国,15770,112344,2019/7/1
法国,14107,102357,2019/7/1
德国,19875,150388,2019/7/1
意大利,8039,56050,2019/7/1
俄罗斯,7495,56229,2019/7/1
澳大利亚,13450,119472,2019/7/1
新西兰,3230,22071,2019/7/1
日本,67097,580686,2019/8/1
新加坡,13382,121040,2019/8/1
泰国,8464,82330,2019/8/1
印尼,13593,82713,2019/8/1
马来西亚,11605,119116,2019/8/1
韩国,56120,474359,2019/8/1
美国,51923,503168,2019/8/1
加拿大,10133,98802,2019/8/1
英国,15195,127539,2019/8/1
法国,13163,115520,2019/8/1
德国,19388,169776,2019/8/1
意大利,12159,68209,2019/8/1
俄罗斯,8745,64974,2019/8/1
澳大利亚,14780,134252,2019/8/1
新西兰,3237,25308,2019/8/1
日本,87135,667821,2019/9/1
新加坡,17081,138121,2019/9/1
泰国,11539,93869,2019/9/1
印尼,13534,96247,2019/9/1
马来西亚,18577,137693,2019/9/1
韩国,62019,536378,2019/9/1
美国,64246,567414,2019/9/1
加拿大,12508,111310,2019/9/1
英国,19471,147010,2019/9/1
法国,16155,131675,2019/9/1
德国,25657,195433,2019/9/1
意大利,10357,78566,2019/9/1
俄罗斯,7606,72580,2019/9/1
澳大利亚,23649,157900,2019/9/1
新西兰,4534,29842,2019/9/1
日本,87316,755137,2019/10/1
新加坡,20352,158473,2019/10/1
泰国,17610,111479,2019/10/1
印尼,13320,109567,2019/10/1
马来西亚,21460,159153,2019/10/1
韩国,76625,613004,2019/10/1
美国,80642,648056,2019/10/1
加拿大,16088,127398,2019/10/1
英国,24156,171166,2019/10/1
法国,21115,152790,2019/10/1
德国,29501,224934,2019/10/1
意大利,11339,89905,2019/10/1
俄罗斯,5170,77750,2019/10/1
澳大利亚,24141,182041,2019/10/1
新西兰,4807,34649,2019/10/1
