Date,Country,month_visits,cumulative
2017-02-01,Japan,60265,117550.0
2017-02-01,Philippines,14089,27445.0
2017-02-01,Singapore,9775,19269.0
2017-02-01,Thailand,4364,8724.0
2017-02-01,Indonesia,6041,13355.0
2017-02-01,Malaysia,8271,15338.0
2017-02-01,South Korea,56847,118820.0
2017-02-01,USA,37406,78513.0
2017-02-01,Canada,8828,18522.0
2017-02-01,United Kingdom,9908,20710.0
2017-02-01,France,10306,19283.0
2017-02-01,Germany,14184,27817.0
2017-02-01,Italy,5318,10602.0
2017-02-01,Russia,5234,11512.0
2017-02-01,Australia,7875,18690.0
2017-02-01,New Zealand,1556,3819.0
2017-03-01,Japan,90352,207902.0
2017-03-01,Philippines,17414,44859.0
2017-03-01,Singapore,15805,35074.0
2017-03-01,Thailand,9288,18012.0
2017-03-01,Indonesia,10572,23927.0
2017-03-01,Malaysia,15402,30740.0
2017-03-01,South Korea,55243,174063.0
2017-03-01,USA,68752,147265.0
2017-03-01,Canada,18843,37365.0
2017-03-01,United Kingdom,17356,38066.0
2017-03-01,France,14279,33562.0
2017-03-01,Germany,24725,52542.0
2017-03-01,Italy,9012,19614.0
2017-03-01,Russia,8130,19642.0
2017-03-01,Australia,16298,34987.0
2017-03-01,New Zealand,2750,6568.0
2017-04-01,Japan,68585,14.66
2017-04-01,Philippines,22483,5.28
2017-04-01,Singapore,15594,3.85
2017-04-01,Thailand,10864,18.95
2017-04-01,Indonesia,11810,2.94
2017-04-01,Malaysia,15447,2.24
2017-04-01,South Korea,42620,-10.39
2017-04-01,USA,72566,4.68
2017-04-01,Canada,19514,11.21
2017-04-01,United Kingdom,20714,4.77
2017-04-01,France,19080,-2.1
2017-04-01,Germany,29922,7.34
2017-04-01,Italy,9536,5.1
2017-04-01,Russia,9088,20.35
2017-04-01,Australia,21184,15.25
2017-04-01,New Zealand,3891,9.34
2017-05-01,Japan,72727,15.2
2017-05-01,Philippines,27221,5.61
2017-05-01,Singapore,15819,4.13
2017-05-01,Thailand,9041,19.16
2017-05-01,Indonesia,12863,1.33
2017-05-01,Malaysia,14096,3.55
2017-05-01,South Korea,43478,-15.61
2017-05-01,USA,65988,4.09
2017-05-01,Canada,19124,12.48
2017-05-01,United Kingdom,17119,4.06
2017-05-01,France,16564,-1.17
2017-05-01,Germany,25022,9.66
2017-05-01,Italy,9765,8.4
2017-05-01,Russia,10117,21.09
2017-05-01,Australia,22841,20.88
2017-05-01,New Zealand,3418,9.5
2017-06-01,Japan,73572,16.07
2017-06-01,Philippines,25661,5.12
2017-06-01,Singapore,16593,6.75
2017-06-01,Thailand,6373,20.55
2017-06-01,Indonesia,20087,14.07
2017-06-01,Malaysia,13821,6.91
2017-06-01,South Korea,42097,-18.09
2017-06-01,USA,69488,5.35
2017-06-01,Canada,13199,13.4
2017-06-01,United Kingdom,15152,4.27
2017-06-01,France,13476,0.22
2017-06-01,Germany,19403,9.57
2017-06-01,Italy,8799,8.83
2017-06-01,Russia,8272,22.61
2017-06-01,Australia,15479,20.61
2017-06-01,New Zealand,3224,10.06
2017-07-01,Japan,67659,14.24
2017-07-01,Philippines,34441,4.27
2017-07-01,Singapore,11430,6.08
2017-07-01,Thailand,5337,16.9
2017-07-01,Indonesia,15949,7.39
2017-07-01,Malaysia,9817,5.9
2017-07-01,South Korea,42993,-18.93
2017-07-01,USA,60330,4.99
2017-07-01,Canada,12343,12.36
2017-07-01,United Kingdom,14248,3.26
2017-07-01,France,12089,0.57
2017-07-01,Germany,18153,8.48
2017-07-01,Italy,8301,8.35
2017-07-01,Russia,7830,21.23
2017-07-01,Australia,12179,18.57
2017-07-01,New Zealand,3165,9.46
2017-08-01,Japan,69024,13.86
2017-08-01,Philippines,44081,3.45
2017-08-01,Singapore,11641,5.18
2017-08-01,Thailand,6764,15.17
2017-08-01,Indonesia,14459,6.86
2017-08-01,Malaysia,10468,6.87
2017-08-01,South Korea,45692,-19.73
2017-08-01,USA,50140,4.39
2017-08-01,Canada,11307,11.87
2017-08-01,United Kingdom,14908,2.92
2017-08-01,France,13064,0.88
2017-08-01,Germany,18557,7.58
2017-08-01,Italy,11269,7.52
2017-08-01,Russia,8198,19.11
2017-08-01,Australia,11720,17.28
2017-08-01,New Zealand,2658,7.01
2017-09-01,Japan,79627,13.85
2017-09-01,Philippines,33471,3.16
2017-09-01,Singapore,14806,4.74
2017-09-01,Thailand,8222,15.68
2017-09-01,Indonesia,13639,8.27
2017-09-01,Malaysia,14375,5.54
2017-09-01,South Korea,45872,-20.35
2017-09-01,USA,61979,4.17
2017-09-01,Canada,18304,12.52
2017-09-01,United Kingdom,18464,2.59
2017-09-01,France,15016,0.74
2017-09-01,Germany,23618,6.85
2017-09-01,Italy,9788,7.11
2017-09-01,Russia,9357,18.88
2017-09-01,Australia,22171,15.8
2017-09-01,New Zealand,3914,5.58
2017-10-01,Japan,74930,12.81
2017-10-01,Philippines,36911,3.13
2017-10-01,Singapore,15702,4.48
2017-10-01,Thailand,8475,13.34
2017-10-01,Indonesia,17677,7.86
2017-10-01,Malaysia,17346,6.71
2017-10-01,South Korea,55726,-20.24
2017-10-01,USA,77613,4.08
2017-10-01,Canada,23556,12.59
2017-10-01,United Kingdom,22084,1.73
2017-10-01,France,18325,0.05
2017-10-01,Germany,28264,5.57
2017-10-01,Italy,11539,6.15
2017-10-01,Russia,10545,15.37
2017-10-01,Australia,20266,13.91
2017-10-01,New Zealand,3923,6.21
2017-11-01,Japan,91688,12.56
2017-11-01,Philippines,16211,3.32
2017-11-01,Singapore,18937,4.07
2017-11-01,Thailand,10144,15.31
2017-11-01,Indonesia,9787,7.63
2017-11-01,Malaysia,20771,7.93
2017-11-01,South Korea,54928,-20.08
2017-11-01,USA,73533,4.79
2017-11-01,Canada,23641,14.03
2017-11-01,United Kingdom,19071,1.87
2017-11-01,France,17337,1.2
2017-11-01,Germany,28383,6.56
2017-11-01,Italy,11176,6.47
2017-11-01,Russia,10807,13.61
2017-11-01,Australia,18277,13.89
2017-11-01,New Zealand,3247,7.04
2017-12-01,Japan,88123,12.94
2017-12-01,Philippines,6786,-5.83
2017-12-01,Singapore,24304,7.71
2017-12-01,Thailand,8688,16.3
2017-12-01,Indonesia,13411,5.44
2017-12-01,Malaysia,32709,13.27
2017-12-01,South Korea,59180,-19.13
2017-12-01,USA,58552,5.94
2017-12-01,Canada,15846,15.73
2017-12-01,United Kingdom,12962,2.94
2017-12-01,France,13036,2.56
2017-12-01,Germany,17526,7.64
2017-12-01,Italy,7036,6.68
2017-12-01,Russia,9226,12.39
2017-12-01,Australia,15507,14.41
2017-12-01,New Zealand,3116,7.8
2018-01-01,Japan,65598,65598.0
