日期,平均出租率,五星级平均出租率,平均房价,五星级平均房价,平均房价增长,五星级房价增长
2024-02-01,44.599998474121094,51.79999923706055,752,930,17,19.5
2024-01-01,53.5,60.20000076293945,713,890,4.400000095367432,5.199999809265137
2023-12-01,57.099998474121094,64.30000305175781,767,983,28.100000381469727,32.79999923706055
2023-11-01,67.80000305175781,74.0999984741211,799,1013,33.5,36.79999923706055
2023-10-01,63,69.19999694824219,772,992,29.5,31.600000381469727
2023-09-01,60.20000076293945,66,766,975,26.700000762939453,32.599998474121094
2023-08-01,68.80000305175781,74.69999694824219,757,961,18.600000381469727,25.299999237060547
2023-07-01,70.5,76.5,756,965,17.700000762939453,22.200000762939453
2023-06-01,63.900001525878906,70.5999984741211,767,966,44.20000076293945,26.600000381469727
2023-05-01,66.4000015258789,71.69999694824219,748,961,52.400001525878906,62.099998474121094
2023-04-01,67.30000305175781,72.5999984741211,750,961,64.9000015258789,78.5
2023-03-01,59.400001525878906,65.9000015258789,689,853,23.700000762939453,20.100000381469727
2023-02-01,53.599998474121094,61.79999923706055,643,778,3.700000047683716,1.100000023841858
2023-01-01,34.099998474121094,40.099998474121094,683,847,12.5,10
2022-12-01,38.5,38.5,604,759,-3.4000000953674316,-4
2022-11-01,49.79999923706055,51.599998474121094,598,740,-7.300000190734863,-8.899999618530273
2022-10-01,43.5,43.20000076293945,597,754,-9.399999618530273,-10.5
2022-09-01,47.400001525878906,48.29999923706055,604,736,-1.7000000476837158,-6.400000095367432
2022-08-01,42.29999923706055,44.20000076293945,639,767,-0.6000000238418579,-7.199999809265137
2022-07-01,26.299999237060547,24.799999237060547,642,789,-4,-6
2022-06-01,23.299999237060547,16,532,763,-16.299999237060547,-4.099999904632568
2022-01-01,35.20000076293945,35.400001525878906,608,769,8.399999618530273,4.900000095367432
2021-12-01,39.20000076293945,39,625,791,2.0999999046325684,6.300000190734863
2021-11-01,47.5,48.599998474121094,645,813,2.0999999046325684,0.5
2021-10-01,60,61.900001525878906,659,842,2.9000000953674316,1.7999999523162842
2021-09-01,45.29999923706055,46,615,786,3.200000047683716,6.400000095367432
2021-08-01,36.79999923706055,36.20000076293945,643,826,3.5,2.9000000953674316
2021-07-01,69.19999694824219,73.0999984741211,669,840,17.700000762939453,10.100000381469727
2021-06-01,61.20000076293945,63.900001525878906,635,795,9.399999618530273,4.300000190734863
2021-05-01,65.30000305175781,68.19999694824219,670,860,21.399999618530273,20.799999237060547
2021-04-01,62.599998474121094,66.30000305175781,624,792,5.599999904632568,7.199999809265137
2021-03-01,55.599998474121094,61.099998474121094,573,707,-5.599999904632568,-18
2021-02-01,26.200000762939453,28,621,821,-8.100000381469727,-8.600000381469727
2021-01-01,34.79999923706055,36.5,560,733,-22.399999618530273,-17.600000381469727
2020-12-01,42.900001525878906,47,612,745,-15.800000190734863,-17.600000381469727
2020-11-01,47.099998474121094,46.79999923706055,632,809,-23.899999618530273,-24.399999618530273
2020-10-01,60.400001525878906,63.599998474121094,640,828,-16.700000762939453,-16.799999237060547
2020-09-01,57.099998474121094,60.5,596,739,-22.399999618530273,-24.700000762939453
2020-08-01,56.79999923706055,60,621,803,-12,-11.199999809265137
2020-07-01,48.29999923706055,48,568,763,-17.899999618530273,-13.100000381469727
2020-06-01,32.20000076293945,31.5,580,762,-22.299999237060547,-20
2020-05-01,27.399999618530273,27.899999618530273,552,712,-26.200000762939453,-25.399999618530273
2020-04-01,16.100000381469727,15.399999618530273,590,739,-25.399999618530273,-27.100000381469727
2020-03-01,8.600000381469727,7.199999809265137,607,862,-22.100000381469727,-12.399999618530273
2020-02-01,5.099999904632568,4.599999904632568,675,899,-4.300000190734863,1.399999976158142
2020-01-01,43.400001525878906,48.29999923706055,722,890,1.5,1.7000000476837158
2019-12-01,59.599998474121094,63.400001525878906,727,903,0.800000011920929,-2.5
2019-11-01,72.4000015258789,76.0999984741211,830,1071,-3.0999999046325684,-5.199999809265137
2019-10-01,68,71,768,994,-3.700000047683716,-5.599999904632568
2019-09-01,64.0999984741211,67.5,767,981,1.5,-1
2019-08-01,68,71.19999694824219,706,905,0.4000000059604645,-1.399999976158142
2019-07-01,68,70,692,879,1.2000000476837158,-2.200000047683716
2019-06-01,67.0999984741211,70.9000015258789,747,953,-0.699999988079071,-2.799999952316284
2019-05-01,70.30000305175781,73.0999984741211,749,955,0.10000000149011612,-3.799999952316284
2019-04-01,69.30000305175781,73.19999694824219,792,1014,-0.4000000059604645,-2.5999999046325684
2019-03-01,68,72.19999694824219,779,985,2.5999999046325684,-1.7999999523162842
2019-02-01,48,52.79999923706055,705,886,5.099999904632568,1.399999976158142
2019-01-01,57.20000076293945,61.900001525878906,711,875,1.399999976158142,-3.799999952316284
2018-12-01,59.099998474121094,62.20000076293945,721,926,4.599999904632568,1.7999999523162842
2018-11-01,71.9000015258789,73.5,856,1130,13.800000190734863,11.899999618530273
2018-10-01,71.0999984741211,73.80000305175781,798,1053,6.5,2.700000047683716
2018-09-01,67,68.0999984741211,756,990,3.799999952316284,1.399999976158142
2018-08-01,70.69999694824219,72.30000305175781,703,918,4.599999904632568,1.600000023841858
2018-07-01,70,70.4000015258789,684,898,0.6000000238418579,-1.2000000476837158
2018-06-01,69.19999694824219,72.5999984741211,753,980,3.5,-1.399999976158142
2018-05-01,69.4000015258789,70.69999694824219,748,993,2.299999952316284,-0.6000000238418579
2018-04-01,72,75.19999694824219,795,1041,6.699999809265137,3.799999952316284
2018-03-01,72.0999984741211,75,759,1002,2.4000000953674316,2.0999999046325684
2018-02-01,47.20000076293945,50.099998474121094,671,874,2.200000047683716,1.2000000476837158
2018-01-01,61.400001525878906,64.69999694824219,702,910,6.300000190734863,4.599999904632568
2017-12-01,63.70000076293945,65.9000015258789,690,910,5.5,4.099999904632568
2017-11-01,76.0999984741211,78.30000305175781,753,1010,2.5,1.899999976158142
2017-10-01,72,73.80000305175781,750,1025,2.200000047683716,2.700000047683716
2017-09-01,70,72,729,977,3.200000047683716,4.900000095367432
2017-08-01,72.69999694824219,73.69999694824219,672,904,3,3.5
2017-07-01,71.0999984741211,72.9000015258789,680,909,3.4000000953674316,2.799999952316284
2017-06-01,70.5999984741211,73.0999984741211,727,994,5.300000190734863,7.199999809265137
2017-05-01,70.19999694824219,72.19999694824219,731,999,5.199999809265137,3.9000000953674316
2017-04-01,70.30000305175781,73.5,745,1003,-0.6000000238418579,-1
2017-03-01,71.5999984741211,76.0999984741211,742,982,1.5,-2.5999999046325684
2017-02-01,58.79999923706055,64,656,864,3.5999999046325684,0.6000000238418579
2017-01-01,57,62.20000076293945,660,870,-0.699999988079071,-2.5999999046325684
2016-12-01,64.19999694824219,66.9000015258789,654,874,0.699999988079071,-2
2016-11-01,75.19999694824219,78.9000015258789,735,991,0.4000000059604645,-3.200000047683716
2016-10-01,73,76.5,734,998,0.20000000298023224,-5.699999809265137
2016-09-01,67.9000015258789,71,706,931,1.2000000476837158,-4.300000190734863
2016-08-01,72.0999984741211,74.30000305175781,653,873,1.100000023841858,-3.200000047683716
