日期,管制站,入境 / 出境,香港居民,内地访客,其他访客,总计
2019-04-04,机场,入境,29331,15048,32239,76618
2019-04-04,机场,出境,48963,11905,21276,82144
2019-04-04,高铁西九龙,入境,7063,17165,1557,25785
2019-04-04,高铁西九龙,出境,20618,9134,873,30625
2019-04-04,红磡,入境,1871,1123,402,3396
2019-04-04,红磡,出境,4581,920,318,5819
2019-04-04,罗湖,入境,75438,22606,1957,100001
2019-04-04,罗湖,出境,158537,24415,1933,184885
2019-04-04,落马洲支线,入境,45863,21225,894,67982
2019-04-04,落马洲支线,出境,64735,19131,655,84521
2019-04-04,港珠澳大桥,入境,10268,7215,3396,20879
2019-04-04,港珠澳大桥,出境,23082,9213,3886,36181
2019-04-04,落马洲,入境,24220,9707,1557,35484
2019-04-04,落马洲,出境,32913,6883,873,40669
2019-04-04,文锦渡,入境,3538,1601,42,5181
2019-04-04,文锦渡,出境,4715,1341,57,6113
2019-04-04,沙头角,入境,3035,873,214,4122
2019-04-04,沙头角,出境,5414,784,116,6314
2019-04-04,深圳湾,入境,28058,18747,2348,49153
2019-04-04,深圳湾,出境,58317,18170,1523,78010
2019-04-04,中国客运码头,入境,2617,1448,1621,5686
2019-04-04,中国客运码头,出境,6263,1742,1534,9539
2019-04-04,港口管制,入境,1,0,156,157
2019-04-04,港口管制,出境,2,0,7,9
2019-04-04,启德邮轮码头,入境,622,173,28,823
2019-04-04,启德邮轮码头,出境,578,135,60,773
2019-04-04,港澳客轮码头,入境,9137,3465,4667,17269
2019-04-04,港澳客轮码头,出境,12921,1413,3968,18302
2019-04-04,屯门客运码头,入境,579,11,32,622
2019-04-04,屯门客运码头,出境,882,19,19,920
2019-04-05,机场,入境,26473,15022,28019,69514
2019-04-05,机场,出境,36156,10175,21923,68254
2019-04-05,高铁西九龙,入境,8611,39301,2005,49917
2019-04-05,高铁西九龙,出境,19026,20803,1028,40857
2019-04-05,红磡,入境,2820,2406,513,5739
2019-04-05,红磡,出境,5245,1205,341,6791
2019-04-05,罗湖,入境,116763,48377,2332,167472
2019-04-05,罗湖,出境,126522,49229,2165,177916
2019-04-05,落马洲支线,入境,57172,54625,1047,112844
