单位名称,饭店星级,客房数,床位数
上海浦东文华东方酒店,5,362,450
上海虹口三至喜来登酒店,5,471,615
上海小南国花园酒店有限公司（2015）,5,192,224
上海外滩茂悦大酒店,5,620,808
富建酒店,5,265,390
上海柏悦酒店(2015),5,173,198
上海皇廷国际大酒店,5,194,265
上海朱家角郁金香花园酒店,5,189,217
上海由由国际广场有限公司喜来登由由酒店,5,525,898
上海绿地万豪酒店(2015),5,290,400
新发展亚太万豪酒店,5,501,676
上海外滩半岛酒店,5,235,279
上海日航饭店,5,382,513
上海浦东星河湾酒店,5,270,408
上海浦东丽思卡尔顿酒店,5,285,320
宏安瑞士大酒店,5,467,577
世博洲际酒店,5,384,584
宏泉丽笙酒店,5,282,417
上海悦华大酒店,5,166,229
上海浦西洲际酒店,5,533,618
上海东方佘山索菲特大酒店,5,368,736
上海斯格威大酒店,5,653,862
上海大酒店,5,353,494
上海龙之梦万丽酒店,5,684,816
上海中油阳光大酒店,5,318,464
上海兴荣温德姆至尊豪廷酒店,5,502,1016
上海南郊宾馆有限公司,5,268,457
世纪皇冠假日酒店,5,319,404
豫园万丽酒店,5,339,432
银星皇冠假日酒店,5,580,784
上海复旦国际学术交流中心有限公司,5,309,439
上海世茂皇家艾美酒店,5,761,1200
千禧海鸥大酒店,5,368,487
上海大厦,5,253,385
上海衡山宾馆,5,240,369
裕景大饭店,5,460,670
上海佘山茂御酒店,5,327,492
上海长峰酒店管理有限公司龙之梦大酒店,5,511,652
上海松江开元名都大酒店,5,446,704
上海淳大万丽酒店,5,370,489
上海东郊宾馆有限公司,5,334,411
上海新世界丽笙大酒店,5,520,691
上海外高桥皇冠假日酒店,5,388,524
上海古象大酒店有限公司,5,358,400
上海南新雅大酒店,5,387,555
金威万豪酒店,5,342,697
四季酒店,5,422,549
上海金光外滩置地有限公司威斯汀大饭店,5,570,654
上海东锦江大酒店有限公司,5,850,1131
上海西郊宾馆,5,260,300
上海扬子江大酒店有限公司,5,542,735
兴国宾馆,5,190,251
上海虹桥迎宾馆,5,209,252
上海瑞吉红塔大酒店,5,328,389
紫金山大酒店,5,368,482
上海国际会议中心有限公司东方滨江大酒店,5,273,403
上海万豪虹桥大酒店,5,313,512
金茂君悦大酒店,5,555,800
上海和平饭店有限公司,5,270,302
上海锦江饭店有限公司,5,442,663
上海富豪环球东亚酒店,5,318,412
上海浦东新区香格里拉酒店有限公司,5,952,1300
上海锦江汤臣洲际大酒店,5,398,468
上海太平洋大饭店有限公司,5,587,730
上海商城上海波特曼丽嘉酒店,5,610,750
新锦江大酒店,5,582,788
上海华亭宾馆有限公司,5,720,1540
花园饭店(上海）,5,471,704
静安希尔顿饭店,5,714,958
上海新桥绿地铂骊酒店,4,211,402
华美达安可酒店,4,170,331
上海南翔假日酒店(2015),4,316,538
华新迪利特大酒店,4,214,321
上海红楼戴斯宾馆有限公司,4,282,431
莎海国际酒店,4,170,295
滨江欣景大酒店,4,200,264
